정하자,12,1,1,18,72,60
임바자,9,1,1,1,61,75
안차타,9,1,1,64,87,7
최자다,8,1,1,24,90,11
장카바,11,1,1,25,55,88
박사카,8,1,1,68,93,67
김라바,9,1,1,47,43,15
송나파,12,1,1,26,80,88
윤하마,13,1,1,74,78,20
박아가,10,1,1,74,29,21
황하하,8,1,1,90,50,15
정가카,10,1,1,84,12,82
권하타,9,1,1,16,13,70
유바바,13,1,1,3,60,35
강파가,12,1,1,12,35,41
홍차가,8,1,1,44,39,45
강카카,9,1,1,96,75,2
임아타,10,1,1,56,23,100
서마아,12,1,1,89,46,6
한가라,8,1,1,94,8,54
임사가,11,1,1,85,41,29
임차다,9,1,1,29,58,71
윤카파,9,1,1,34,22,74
황나마,12,1,1,63,9,72
김바차,8,1,1,68,95,11
윤마라,8,1,1,22,6,75
서파아,8,1,1,91,53,37
장라다,12,1,1,12,64,34
권마사,11,1,1,51,66,93
조라자,9,1,1,35,51,29
홍파아,13,1,1,86,42,47
강가바,13,1,1,17,24,98
오나가,11,1,1,76,42,86
최카다,10,1,1,100,16,11
황다아,9,1,1,58,91,63
황자라,8,1,1,21,100,90
황사바,12,1,1,56,32,48
권사차,8,1,1,27,5,74
장파차,12,1,1,33,55,53
이파나,12,1,1,7,96,51
강카바,13,1,1,41,65,97
조바아,11,1,1,91,51,5
조라사,8,1,1,42,13,7
장마사,9,1,1,56,100,1
한아나,8,1,1,65,54,66
권다타,10,1,1,7,9,66
송카마,11,1,1,49,66,65
최파아,9,1,1,32,30,26
정자차,11,1,1,21,83,30
송다가,13,1,1,64,79,89
강하타,13,1,1,28,32,27
서카라,8,1,1,61,48,81
서하바,13,1,1,43,28,38
장카사,11,1,1,100,43,71
신사라,13,1,1,16,44,55
서마마,13,1,1,57,78,97
홍나다,12,1,1,65,51,81
정라나,11,1,1,95,39,88
오마나,12,1,1,14,67,88
윤사다,12,1,1,81,81,32
김사차,13,1,1,99,27,88
임라아,9,1,1,8,41,70
권타아,13,1,1,97,39,86
박다마,8,1,1,40,49,7
오자마,11,1,1,14,35,39
장아아,8,1,1,59,0,64
정타아,13,1,1,74,18,19
윤가카,11,1,1,81,23,91
서가자,11,1,1,7,35,71
신자라,8,1,1,90,56,91
권파라,12,1,1,91,9,93
유차마,9,1,1,24,76,82
유파차,11,1,1,93,31,40
한사나,8,1,1,59,13,70
송차바,11,1,1,50,52,97
홍자차,9,1,1,82,100,23
안아가,13,1,1,46,25,25
홍파자,13,1,1,49,21,64
유마아,8,1,1,41,41,20
한가나,10,1,1,93,73,49
유카타,11,1,1,54,94,69
장사카,10,1,1,70,49,33
장다아,9,1,1,86,83,16
유차다,11,1,1,39,35,81
조마자,9,1,1,7,21,64
유아타,13,1,1,72,49,75
서아사,12,1,1,72,54,100
윤라아,13,1,1,17,28,25
서카라,9,1,1,77,98,22
김가파,11,1,1,42,58,27
최사다,13,1,1,25,12,0
안다파,12,1,1,16,90,20
신마아,11,1,1,39,43,16
이바파,10,1,1,54,3,76
오다타,9,1,1,60,34,74
오마차,11,1,1,41,87,82
장다마,10,1,1,66,13,10
홍나하,12,1,1,4,60,56
윤아차,12,1,1,88,46,26
박차다,8,1,1,76,42,98
신파마,11,1,1,76,52,16
오차사,13,1,1,51,24,10
유타자,8,1,1,98,18,88
서마바,13,1,1,30,94,91
강타가,13,1,1,2,77,85
홍하파,9,1,1,84,38,14
임차가,12,1,1,80,0,85
장나타,11,1,1,78,83,23
정차타,13,1,1,32,16,42
홍타바,11,1,1,97,50,90
